,x,y,z,region,detailRegion,roughRegion
195619_017_reg,3245.49913,2424.93508,5149.81605,ACAd,ACAd-5,CTX
200325_014_reg,3438.49685,2331.22486,5443.76839,ACAd,ACAd-2/3,CTX
195618_004_reg,3923.03818,2289.13894,4891.58977,ACAd,ACAd-6a,CTX
195051_002_reg,4282.70485,1988.86949,5039.36186,ACAd,ACAd-5,CTX
201784_004_reg,3492.11275,2516.4123,4738.9084,ACAd,ACAd-6a,CTX
200199_009_reg,4625.36294,1877.44231,5381.97185,ACAd,ACAd-5,CTX
200197_020_reg,5047.45569,1550.50401,5256.74777,ACAd,ACAd-5,CTX
195937_026_reg,3008.95567,2323.14805,5278.55758,ACAd,ACAd-5,CTX
194527_010_reg,3509.58244,2039.46496,5094.19125,ACAd,ACAd-5,CTX
201787_053_reg,3320.50177,2474.39373,4890.69843,ACAd,ACAd-6a,CTX
195199_053_reg,4911.38446,1888.6056,5078.14464,ACAd,ACAd-6a,CTX
195617_006_reg,3295.23688,2117.07693,5313.32443,ACAd,ACAd-5,CTX
200196_060_reg,5142.21076,1545.32508,5276.23469,ACAd,ACAd-5,CTX
195829_036_reg,4533.5343,2187.95772,5328.80957,ACAd,ACAd-5,CTX
195619_004_reg,3366.76558,2408.0616,5048.00248,ACAd,ACAd-5,CTX
195199_090_reg,4474.85682,2093.82848,5380.68766,ACAd,ACAd-5,CTX
201764_021_reg,3475.72023,2548.01953,4801.79497,ACAd,ACAd-6a,CTX
200321_011_reg,3387.61504,2108.74068,5430.98227,ACAd,ACAd-2/3,CTX
200196_056_reg,4955.14046,1852.93419,5401.57128,ACAd,ACAd-5,CTX
195614_030_reg,3564.48926,2384.98964,4911.46642,ACAd,ACAd-6a,CTX
201767_006_reg,3413.72083,2527.90979,4799.34056,ACAd,ACAd-6a,CTX
195787_007_reg,2572.82385,2196.93709,5251.22646,ACAd,ACAd-2/3,CTX
200293_060_reg,3075.4972,2372.54906,5291.398,ACAd,ACAd-5,CTX
200194_096_reg,5062.95431,1919.00395,5302.28768,ACAd,ACAd-5,CTX
201730_023_reg,3504.1018,2476.99687,4965.68259,ACAd,ACAd-5,CTX
200199_073_reg,4304.49636,1967.78088,5544.56219,ACAd,ACAd-2/3,CTX
200198_015_reg,5376.25679,1502.86167,5349.74481,ACAd,ACAd-5,CTX
195199_064_reg,4861.22794,2022.828,5291.48852,ACAd,ACAd-5,CTX
195199_084_reg,4506.46996,2005.30539,5402.0788,ACAd,ACAd-5,CTX
200194_090_reg,4775.04272,1916.48767,5436.31321,ACAd,ACAd-2/3,CTX
195049_023_reg,5239.17316,1583.54043,5438.73308,ACAd,ACAd-2/3,CTX
195049_020_reg,5040.15286,1758.42036,5425.16346,ACAd,ACAd-2/3,CTX
200579_003_reg,3089.34942,2456.33858,4996.42678,ACAd,ACAd-5,CTX
200197_070_reg,4943.97616,1625.11218,5316.29316,ACAd,ACAd-5,CTX
192106_164_reg,3206.71754,1990.33463,5529.64753,ACAd,ACAd-1,CTX
200194_067_reg,4625.77516,1986.22322,5492.70468,ACAd,ACAd-2/3,CTX
195047_033_reg,5140.4352,1696.16515,5235.11963,ACAd,ACAd-5,CTX
201758_010_reg,3424.78898,2361.50386,5070.82325,ACAd,ACAd-5,CTX
200194_110_reg,4551.58891,1778.01962,5508.66135,ACAd,ACAd-2/3,CTX
196550_033_reg,3311.22124,2148.88341,5128.83502,ACAd,ACAd-5,CTX
200197_034_reg,4511.14807,2046.30496,5298.60106,ACAd,ACAd-5,CTX
195051_025_reg,4698.16487,1672.24971,5294.46313,ACAd,ACAd-5,CTX
200196_042_reg,4722.27376,1945.5111,5381.23313,ACAd,ACAd-5,CTX
200323_022_reg,3836.01307,2105.18313,5069.48614,ACAd,ACAd-5,CTX
195047_023_reg,4575.63527,1934.84983,5398.0906,ACAd,ACAd-5,CTX
196548_012_reg,3249.7478,2144.51249,5213.07707,ACAd,ACAd-5,CTX
201730_024_reg,3601.62345,2502.64431,5038.42893,ACAd,ACAd-5,CTX
200197_057_reg,4316.18073,1925.80978,5205.75488,ACAd,ACAd-5,CTX
195617_009_reg,3212.55709,1978.43726,5359.12866,ACAd,ACAd-2/3,CTX
195838_055_reg,4581.9332,2113.04107,4895.11753,ACAd,ACAd-6a,CTX
200198_054_reg,4697.75276,1978.97849,5465.12255,ACAd,ACAd-2/3,CTX
200194_036_reg,4168.50348,2038.67056,5377.01901,ACAd,ACAd-5,CTX
200323_007_reg,3788.36251,2282.63618,4967.58457,ACAd,ACAd-5,CTX
195199_086_reg,4551.88852,2031.00516,5441.33512,ACAd,ACAd-2/3,CTX
195833_023_reg,3215.68674,4682.0377,3228.58268,AIv,AIv-5,CTX
200306_010_reg,3746.19189,4857.99662,3158.32238,AIv,AIv-5,CTX
195042_053_reg,3624.79795,4995.23782,3327.54797,AIv,AIv-2/3,CTX
200310_028_reg,3366.71798,4925.58311,3011.02082,AIv,AIv-2/3,CTX
195834_007_reg,3982.94816,4944.76744,2485.18645,AIv,AIv-5,CTX
195041_069_reg,3230.517,4732.99657,3303.28108,AIv,AIv-2/3,CTX
195822_011_reg,3073.49318,4287.87706,3548.42638,AIv,AIv-5,CTX
200312_011_reg,3602.76689,4844.90883,2807.82345,AIv,AIv-5,CTX
195841_046_reg,3129.02658,4545.35704,3299.18259,AIv,AIv-5,CTX
200307_021_reg,3382.65598,4979.03624,2974.48562,AIv,AIv-2/3,CTX
200311_014_reg,3194.53841,4707.8697,3184.06353,AIv,AIv-2/3,CTX
201400_006_reg,3502.05213,4510.06038,3319.4727,AIv,AIv-5,CTX
195042_099_reg,3645.77948,4615.3841,3153.79102,AIv,AIv-5,CTX
201400_024_reg,3702.90394,4513.81013,3369.69017,AIv,AIv-5,CTX
195046_002_reg,4122.26743,4989.41797,2404.23713,AIv,AIv-5,CTX
200307_018_reg,3803.68691,4676.19463,3138.46239,AIv,AIv-5,CTX
195822_009_reg,3275.09447,4322.93787,3557.98106,AIv,AIv-5,CTX
195042_078_reg,4065.19995,5220.90058,2827.13803,AIv,AIv-5,CTX
195833_008_reg,3969.02285,5145.97632,2633.58783,AIv,AIv-2/3,CTX
195833_006_reg,4061.81368,5278.87912,2578.01029,AIv,AIv-2/3,CTX
195042_013_reg,3446.71756,4798.54365,3171.40747,AIv,AIv-5,CTX
195046_010_reg,3904.80889,4977.9677,2678.42597,AIv,AIv-5,CTX
195833_022_reg,3134.25059,4710.32552,3188.11808,AIv,AIv-2/3,CTX
195041_067_reg,3028.00012,4699.99397,3605.08031,AIv,AIv-1,CTX
195834_037_reg,3909.11012,5020.70066,2781.80401,AIv,AIv-5,CTX
200307_006_reg,3548.62803,4798.80097,3012.12754,AIv,AIv-5,CTX
195822_022_reg,3216.6969,4439.33307,3526.77381,AIv,AIv-5,CTX
195041_024_reg,4199.92194,5092.52405,2351.31134,AIv,AIv-2/3,CTX
195833_046_reg,3651.67164,4858.38558,2771.66633,AIv,AIv-5,CTX
195839_189_reg,3368.8542,4832.67194,2958.31823,AIv,AIv-2/3,CTX
195042_058_reg,3536.55093,5101.09587,2920.4317,AIv,AIv-2/3,CTX
195833_059_reg,4070.30172,5178.34615,2988.62789,AIv,AIv-5,CTX
201400_027_reg,3719.37914,4453.33769,3587.35448,AIv,AIv-5,CTX
195822_042_reg,3393.43122,4476.4502,3655.25968,AIv,AIv-5,CTX
200306_026_reg,3723.88508,4718.84057,3090.75395,AIv,AIv-5,CTX
201400_002_reg,3273.73017,4590.80279,3242.61996,AIv,AIv-5,CTX
195822_046_reg,3330.11111,4856.99088,3310.29856,AIv,AIv-2/3,CTX
200312_017_reg,3938.38231,4748.82255,3198.80903,AIv,AIv-6a,CTX
195822_030_reg,2998.46431,4553.94573,3455.96728,AIv,AIv-2/3,CTX
195833_021_reg,3293.95204,4594.71372,3241.33511,AIv,AIv-5,CTX
195833_061_reg,4117.88711,5074.54893,2798.09065,AIv,AIv-5,CTX
195041_020_reg,3722.57729,4856.72949,2783.00125,AIv,AIv-5,CTX
195041_078_reg,3795.76786,4986.94955,2505.46865,AIv,AIv-2/3,CTX
195833_020_reg,3390.75515,4883.56658,3049.10459,AIv,AIv-2/3,CTX
200306_002_reg,3310.90749,4755.57364,3089.24377,AIv,AIv-2/3,CTX
200306_003_reg,3597.24378,4586.03907,3289.61626,AIv,AIv-5,CTX
200307_022_reg,3579.22139,4520.49163,3375.69875,AIv,AIv-5,CTX
195041_046_reg,3725.57496,5188.0647,2965.19004,AIv,AIv-2/3,CTX
195834_041_reg,3703.07783,5033.0651,2600.89752,AIv,AIv-2/3,CTX
195041_055_reg,3545.02711,5030.63404,3070.95911,AIv,AIv-2/3,CTX
195046_027_reg,3735.12913,5060.64901,2766.05786,AIv,AIv-2/3,CTX
195041_070_reg,3542.26668,5040.55666,3169.22805,AIv,AIv-2/3,CTX
195041_066_reg,3091.25691,4583.85119,3533.09106,AIv,AIv-2/3,CTX
195826_037_reg,3312.69532,4341.38272,3559.29016,AIv,AIv-5,CTX
201401_003_reg,3474.69411,4524.02875,3217.73942,AIv,AIv-5,CTX
200311_023_reg,3163.74267,4714.10135,3026.52742,AIv,AIv-2/3,CTX
195041_065_reg,3699.0097,5286.19559,2738.7219,AIv,AIv-2/3,CTX
195041_072_reg,3943.51318,5183.6038,2815.13284,AIv,AIv-5,CTX
195820_064_reg,3266.96507,4640.31011,3403.76189,AIv,AIv-5,CTX
194784_009_reg,2846.73905,4030.58661,3737.17629,AIv,AIv-5,CTX
195045_022_reg,3704.0017,4863.44558,2974.6294,AIv,AIv-5,CTX
195041_050_reg,3760.57436,5191.72349,2937.16768,AIv,AIv-2/3,CTX
195041_048_reg,3776.02604,5230.98758,2838.787,AIv,AIv-2/3,CTX
195041_064_reg,3086.24658,4747.74796,3605.37308,AIv,AIv-1,CTX
195041_029_reg,3988.88218,5268.06385,2335.15649,AIv,AIv-2/3,CTX
195826_064_reg,3110.21624,4659.54668,3691.32732,AIv,AIv-1,CTX
195833_045_reg,3657.7004,5059.51245,2789.84182,AIv,AIv-2/3,CTX
195041_045_reg,3960.61888,5267.60547,2716.72496,AIv,AIv-2/3,CTX
201400_018_reg,3224.88284,4600.74582,3165.59899,AIv,AIv-5,CTX
200308_022_reg,3405.02576,4983.32442,3229.90037,AIv,AIv-2/3,CTX
200308_017_reg,3561.24178,4683.22562,3071.13662,AIv,AIv-5,CTX
195822_010_reg,3228.08708,4287.09566,3521.00987,AIv,AIv-5,CTX
200308_023_reg,3608.14019,4776.87819,3426.69582,AIv,AIv-5,CTX
195042_030_reg,4425.41306,5235.98902,2457.4339,AIv,AIv-5,CTX
195833_068_reg,4078.62414,5175.78387,2817.1835,AIv,AIv-5,CTX
195822_005_reg,3539.66943,4507.71948,3291.91692,AIv,AIv-5,CTX
195839_187_reg,3242.94214,4852.48401,3227.02464,AIv,AIv-2/3,CTX
195826_050_reg,2999.8581,4621.99566,3596.06987,AIv,AIv-2/3,CTX
195822_007_reg,3408.11176,4544.74564,3345.29819,AIv,AIv-5,CTX
195045_041_reg,4123.20307,5213.54654,2535.04651,AIv,AIv-2/3,CTX
201401_017_reg,3705.06875,4623.76436,3647.85996,AIv,AIv-5,CTX
195041_035_reg,3845.00356,5088.74931,2691.7628,AIv,AIv-2/3,CTX
195833_029_reg,3508.38622,4874.98511,2946.40322,AIv,AIv-5,CTX
200310_039_reg,3641.39935,4834.96552,3388.20217,AIv,AIv-5,CTX
195833_007_reg,4057.2106,5238.08264,2588.19372,AIv,AIv-2/3,CTX
195042_036_reg,4033.90168,4936.13584,2575.8966,AIv,AIv-5,CTX
195046_028_reg,3891.71847,5038.91042,2552.70219,AIv,AIv-2/3,CTX
195834_013_reg,4044.83662,4963.22301,2747.33821,AIv,AIv-5,CTX
195833_062_reg,3735.52132,5036.08798,2682.53534,AIv,AIv-2/3,CTX
200307_010_reg,3369.05511,4600.08232,3325.64568,AIv,AIv-5,CTX
195840_020_reg,3375.13016,4744.08145,2981.69911,AIv,AIv-5,CTX
195041_082_reg,4189.31759,5128.50426,2327.90811,AIv,AIv-2/3,CTX
195820_065_reg,3229.44368,4755.73711,3387.5649,AIv,AIv-2/3,CTX
195045_004_reg,3379.63961,4592.44037,3394.74737,AIv,AIv-5,CTX
195045_028_reg,4028.27873,4913.35671,2726.76868,AIv,AIv-5,CTX
200311_013_reg,3448.28174,4975.80297,3098.33677,AIv,AIv-2/3,CTX
200307_002_reg,3353.74533,4638.9418,3282.6672,AIv,AIv-5,CTX
195833_057_reg,3752.72764,5241.19716,2903.46759,AIv,AIv-2/3,CTX
195822_044_reg,3388.44691,4760.19041,3518.11411,AIv,AIv-2/3,CTX
195041_032_reg,3918.89072,4958.03453,2537.74511,AIv,AIv-5,CTX
194784_016_reg,2454.16501,4118.3243,3765.31186,AId,AId-2/3,CTX
195840_019_reg,3447.62068,4690.29115,2932.07354,AId,AId-5,CTX
200308_005_reg,3676.21221,4559.05163,2847.49182,AId,AId-5,CTX
195046_042_reg,3806.17749,4012.59637,3326.39644,AId,AId-6a,CTX
195834_011_reg,4003.29781,4856.5303,2750.74758,AId,AId-5,CTX
200314_039_reg,3249.67881,3902.81249,3374.77051,AId,AId-5,CTX
200313_063_reg,4113.60538,4765.47175,2026.23939,AId,AId-2/3,CTX
195822_018_reg,2763.68372,4099.32056,3685.60065,AId,AId-5,CTX
17896_006_reg,2233.52269,3713.71624,3824.56526,AId,AId-2/3,CTX
194779_063_reg,2129.35832,3471.4838,3718.28999,AId,AId-2/3,CTX
195041_011_reg,3366.68614,4784.62171,2902.35496,AId,AId-2/3,CTX
195839_164_reg,3510.6467,4562.84538,2948.42332,AId,AId-5,CTX
194785_011_reg,2394.23525,3792.35569,3544.35119,AId,AId-2/3,CTX
194780_043_reg,2391.19824,3706.42607,3767.88603,AId,AId-2/3,CTX
200310_018_reg,3549.26971,4487.66493,3090.60361,AId,AId-5,CTX
200306_001_reg,3620.96729,4342.9297,3153.3124,AId,AId-5,CTX
195043_049_reg,3619.92874,4297.56382,3368.68637,AId,AId-6a,CTX
194779_076_reg,2454.19734,3915.525,3686.04501,AId,AId-2/3,CTX
194782_133_reg,2428.63841,4070.87123,3670.11692,AId,AId-2/3,CTX
195834_044_reg,3009.85243,4458.22387,3029.03443,AId,AId-2/3,CTX
200307_003_reg,3367.18418,4430.07203,3202.6562,AId,AId-5,CTX
195041_010_reg,3855.45404,4645.89268,2225.39919,AId,AId-2/3,CTX
195044_018_reg,3563.78494,4329.43006,2924.38917,AId,AId-5,CTX
195045_075_reg,3072.78693,4364.97015,2903.98351,AId,AId-2/3,CTX
200310_025_reg,3356.03085,4203.42787,3010.05272,AId,AId-5,CTX
194782_022_reg,2113.24148,3491.12801,3773.97613,AId,AId-2/3,CTX
200307_009_reg,3713.75212,4678.56966,3038.3917,AId,AId-5,CTX
194779_064_reg,2305.91112,3579.797,3738.47738,AId,AId-2/3,CTX
194784_020_reg,2598.46384,3830.68979,3780.01145,AId,AId-5,CTX
195044_031_reg,3852.24018,4643.08155,2609.502,AId,AId-5,CTX
200308_046_reg,3245.89284,4522.43144,3016.96667,AId,AId-5,CTX
194786_023_reg,2564.11378,3697.59863,3558.41178,AId,AId-5,CTX
200313_027_reg,3422.3302,4472.01558,2959.41704,AId,AId-5,CTX
200308_031_reg,3275.46108,4562.79389,2929.37248,AId,AId-2/3,CTX
200310_009_reg,3272.6893,4609.55831,3051.55644,AId,AId-5,CTX
200307_011_reg,3606.61943,4560.26225,3170.35027,AId,AId-5,CTX
200310_023_reg,3256.75546,4360.47257,3096.98519,AId,AId-5,CTX
194779_108_reg,2337.22503,3543.456,3495.14429,AId,AId-2/3,CTX
194784_014_reg,2402.0258,3933.04727,3702.91426,AId,AId-2/3,CTX
200313_029_reg,2995.57477,4361.19492,2973.38652,AId,AId-2/3,CTX
200310_014_reg,3183.63413,4176.13226,2849.84605,AId,AId-2/3,CTX
195042_034_reg,3584.77427,4508.74332,2848.0436,AId,AId-5,CTX
195042_012_reg,3856.99132,4593.9707,2591.43745,AId,AId-5,CTX
195839_200_reg,3430.40693,4208.67352,3171.88439,AId,AId-5,CTX
201400_026_reg,3086.62165,3633.33798,3642.49549,AId,AId-6a,CTX
200308_011_reg,3376.79182,4759.66794,2814.03674,AId,AId-2/3,CTX
195819_007_reg,2602.66143,3798.88292,3657.88794,AId,AId-5,CTX
201398_029_reg,2774.26288,3554.5728,3819.63927,AId,AId-5,CTX
194783_019_reg,2628.5732,3889.29086,3536.68277,AId,AId-5,CTX
194779_071_reg,2459.21266,3941.59539,3556.66126,AId,AId-2/3,CTX
195046_022_reg,3672.50378,4678.85761,2605.73235,AId,AId-5,CTX
194783_041_reg,2432.36541,3707.66716,3694.92061,AId,AId-2/3,CTX
195045_016_reg,3196.35677,4169.72356,2987.52554,AId,AId-5,CTX
200314_037_reg,3018.85175,4394.47752,3335.02138,AId,AId-5,CTX
200306_014_reg,3691.09833,4302.42658,3224.61314,AId,AId-6a,CTX
200310_024_reg,3112.85215,4501.8543,3183.94285,AId,AId-5,CTX
195042_002_reg,3731.09236,4427.38232,2144.77477,AId,AId-2/3,CTX
195822_031_reg,3017.33291,4525.59985,3286.38527,AId,AId-2/3,CTX
200314_038_reg,2983.0247,4441.26218,3257.92286,AId,AId-2/3,CTX
195822_014_reg,2686.05381,3730.35285,3608.99085,AId,AId-5,CTX
194785_008_reg,2844.07949,3859.31502,3584.26083,AId,AId-5,CTX
200307_012_reg,3537.48446,4426.2789,3148.84187,AId,AId-5,CTX
200313_074_reg,4486.30089,4860.66659,2191.26136,AId,AId-5,CTX
195046_037_reg,3586.52152,4786.30444,2750.9918,AId,AId-5,CTX
195840_015_reg,3560.22955,4614.20725,3087.61682,AId,AId-5,CTX
194780_031_reg,2506.03001,3488.74264,3647.72294,AId,AId-5,CTX
195046_043_reg,3859.91839,4670.67202,2479.48428,AId,AId-5,CTX
200314_021_reg,3410.36272,3835.90821,3562.50707,AId,AId-6a,CTX
195045_042_reg,3706.3101,4788.04784,2493.64549,AId,AId-2/3,CTX
200314_003_reg,3863.25037,4736.557,2444.75188,AId,AId-5,CTX
195044_026_reg,4051.32178,4759.05016,2936.97277,AId,AId-6a,CTX
195046_032_reg,3982.49037,4456.27078,2462.42973,AId,AId-5,CTX
194778_013_reg,2507.62599,3794.00382,3613.01823,AId,AId-2/3,CTX
194781_070_reg,2495.77126,3699.80522,3472.82156,AId,AId-2/3,CTX
200313_004_reg,3408.25009,4452.55309,2733.33486,AId,AId-2/3,CTX
200308_009_reg,3486.87218,4466.24014,2974.14214,AId,AId-5,CTX
194784_018_reg,2437.56641,3984.40704,3758.8839,AId,AId-2/3,CTX
195041_037_reg,3774.69534,4860.14427,2588.20623,AId,AId-5,CTX
195043_001_reg,4144.34749,4669.49761,2305.1346,AId,AId-5,CTX
200314_048_reg,3646.78727,4700.98081,2575.5369,AId,AId-5,CTX
195045_067_reg,3757.47108,4488.84569,2198.48427,AId,AId-2/3,CTX
194780_007_reg,2739.9925,3757.82669,3451.89421,AId,AId-5,CTX
195834_027_reg,3231.35713,4460.73106,2948.07051,AId,AId-2/3,CTX
195839_203_reg,3372.38662,4483.10753,2919.35504,AId,AId-5,CTX
195045_061_reg,3200.90255,4157.4505,2862.98223,AId,AId-2/3,CTX
195841_039_reg,3241.05919,4389.16688,3246.56597,AId,AId-5,CTX
200314_027_reg,4004.37589,4818.7704,2377.01778,AId,AId-5,CTX
200314_045_reg,4155.2028,4595.03963,2680.52632,AId,AId-6a,CTX
195041_043_reg,3478.20713,4575.04167,2878.30519,AId,AId-5,CTX
200307_019_reg,3664.70016,4601.2468,3115.32203,AId,AId-5,CTX
194786_016_reg,2506.62788,3865.11736,3539.62811,AId,AId-2/3,CTX
195822_033_reg,2353.66283,3791.54478,3632.45472,AId,AId-2/3,CTX
194786_024_reg,2325.79211,3708.08349,3438.05055,AId,AId-2/3,CTX
200314_028_reg,3928.85974,4662.26681,2430.89609,AId,AId-5,CTX
195043_011_reg,3673.18209,4029.55271,3367.40876,AId,AId-6a,CTX
194783_015_reg,2540.12125,3604.67298,3436.53317,AId,AId-2/3,CTX
201398_033_reg,2802.22071,3434.27183,3674.73249,AId,AId-5,CTX
194785_032_reg,2448.12093,3860.99991,3393.12134,AId,AId-2/3,CTX
194780_018_reg,2508.69043,3979.37012,3656.16891,AId,AId-2/3,CTX
194784_012_reg,2487.87957,3800.77643,3660.44183,AId,AId-2/3,CTX
194779_015_reg,2122.14864,2754.97404,5156.21666,FRP,FRP-2/3,CTX
200297_031_reg,2334.98768,2805.44471,4634.12205,FRP,FRP-5,CTX
200299_046_reg,2529.47256,2786.53065,4390.57447,FRP,FRP-5,CTX
200297_030_reg,2408.61884,2914.26892,4375.06588,FRP,FRP-5,CTX
201575_036_reg,2376.56812,2827.75699,5012.18593,FRP,FRP-5,CTX
200290_018_reg,2733.01745,2845.84868,4591.49599,FRP,FRP-6a,CTX
194782_046_reg,2005.19691,2875.55418,3984.10411,FRP,FRP-1,CTX
200295_009_reg,2800.01384,2899.96389,4311.40025,FRP,FRP-6a,CTX
201398_027_reg,2851.9241,2910.73184,4253.19958,FRP,FRP-6a,CTX
200299_003_reg,2666.33346,2965.95471,4299.59264,FRP,FRP-5,CTX
192106_110_reg,2167.41748,2936.92341,4446.35078,FRP,FRP-2/3,CTX
200582_055_reg,2027.54948,2986.75827,5281.45503,FRP,FRP-1,CTX
194781_019_reg,2274.21584,2687.51807,4723.11706,FRP,FRP-5,CTX
200582_035_reg,1990.63698,2592.90276,5051.2546,FRP,FRP-2/3,CTX
201571_028_reg,2312.3302,2743.95324,4990.18099,FRP,FRP-5,CTX
200293_089_reg,2837.95488,2854.89732,4244.60817,FRP,FRP-6a,CTX
201572_016_reg,2138.26316,2597.99966,5096.5771,FRP,FRP-5,CTX
194779_087_reg,1962.63477,2731.9116,4943.04713,FRP,FRP-2/3,CTX
201575_038_reg,2248.08879,2812.2673,5073.94949,FRP,FRP-5,CTX
194786_091_reg,1996.52033,2960.0023,4469.27499,FRP,FRP-1,CTX
196549_007_reg,2351.71672,2682.98216,4394.485,FRP,FRP-5,CTX
201569_014_reg,3110.58511,2964.05327,4392.27393,FRP,FRP-6a,CTX
